Age (x),qx,lx,px,dx,lx_next,Lx,Tx,ex,ax
0.0,0.001,100000.0,0.999,100.0,99900.0,99950.0,3380236.2740000007,33.80236274000001,21.064489023453778
1.0,0.001,99900.0,0.999,99.9,99769.131,99834.5655,3280286.2740000007,32.83569843843844,20.687110804962355
2.0,0.002,99769.131,0.998,199.538262,99605.261,99687.196,3180451.7085000006,31.878113767473838,20.29802215126249
3.0,0.002,99605.261,0.998,199.210522,99405.332,99505.2965,3080764.5125000007,30.929736858979776,19.9167964086176
4.0,0.002,99405.332,0.998,198.810664,99165.488,99285.41,2981259.2160000005,29.99093867520105,19.523346994865857
5.0,0.003,99165.488,0.997,297.496464,98881.177,99023.33249999999,2881973.8060000003,29.06226615856517,19.11728196864913
6.0,0.003,98881.177,0.997,296.643531,98547.221,98714.199,2782950.4735000003,28.14439065081113,18.716951281553264
7.0,0.004,98547.221,0.996,394.18888400000003,98157.894,98352.5575,2684236.2745000003,27.23807173111457,18.30336992978923
8.0,0.005,98157.894,0.995,490.78947,97706.992,97932.443,2585883.717,26.34412385620254,17.8940472165491
9.0,0.005,97706.992,0.995,488.53496,97187.911,97447.4515,2487951.274,25.46339031704098,17.4883101839654
10.0,0.006,97187.911,0.994,583.1274659999999,96593.722,96890.81649999999,2390503.8225000002,24.59671987908044,17.068300994456646
11.0,0.007,96593.722,0.993,676.1560539999999,95917.261,96255.4915,2293613.006,23.744949035093608,16.650251533491293
12.0,0.008,95917.261,0.992,767.338088,95151.222,95534.2415,2197357.5145,22.908885132781265,16.23339282930114
13.0,0.009,95151.222,0.991,856.3609979999999,94288.262,94719.742,2101823.273,22.089293535294797,15.816930054617108
14.0,0.01,94288.262,0.99,942.8826200000001,93321.113,93804.6875,2007103.5310000002,21.286886494948863,15.400038300964301
15.0,0.012,93321.113,0.988,1119.853356,92242.706,92781.90950000001,1913298.8435000002,20.50231487809195,14.981858030296191
16.0,0.013,92242.706,0.987,1199.155178,91046.302,91644.504,1820516.9340000001,19.736161404458365,14.576228513365463
17.0,0.015,91046.302,0.985,1365.69453,89725.634,90385.968,1728872.4300000002,18.98893631066971,14.167695409084525
18.0,0.016,89725.634,0.984,1435.6101440000002,88275.059,89000.3465,1638486.462,18.261074220996868,13.76926525010869
19.0,0.018,88275.059,0.982,1588.9510619999999,86689.712,87482.3855,1549486.1155,17.552932085834122,13.366202446760113
20.0,0.02,86689.712,0.98,1733.79424,84965.667,85827.68950000001,1462003.73,16.864789330480185,12.970660407497878
