"age","qx","lx","dx","Lx","Tx","ex","ax"
0,0.0013,1e+05,130,99935,7636854.58,76.37,29.29
1,0.00131,99870,130.83,99804.59,7536919.58,75.47,29.17
2,0.00133,99739.17,132.9,99672.72,7437114.99,74.57,29.06
3,0.00136,99606.27,135.94,99538.3,7337442.27,73.66,28.94
4,0.00141,99470.33,139.81,99400.43,7237903.97,72.76,28.81
5,0.00145,99330.52,144.45,99258.3,7138503.54,71.87,28.69
6,0.00151,99186.07,149.8,99111.17,7039245.25,70.97,28.56
7,0.00157,99036.27,155.82,98958.36,6940134.08,70.08,28.43
8,0.00164,98880.45,162.46,98799.22,6841175.72,69.19,28.3
9,0.00172,98717.99,169.7,98633.15,6742376.5,68.3,28.16
10,0.0018,98548.3,177.5,98459.55,6643743.35,67.42,28.03
11,0.00189,98370.79,185.86,98277.87,6545283.8,66.54,27.89
12,0.00198,98184.94,194.73,98087.57,6447005.94,65.66,27.75
13,0.00208,97990.21,204.1,97888.16,6348918.36,64.79,27.6
14,0.00219,97786.11,213.96,97679.13,6251030.2,63.93,27.46
15,0.0023,97572.15,224.27,97460.01,6153351.08,63.06,27.31
16,0.00241,97347.88,235.03,97230.36,6055891.06,62.21,27.16
17,0.00254,97112.85,246.21,96989.75,5958660.7,61.36,27.01
18,0.00266,96866.64,257.79,96737.75,5861670.95,60.51,26.86
19,0.00279,96608.85,269.77,96473.96,5764933.21,59.67,26.71
20,0.00293,96339.08,282.12,96198.02,5668459.24,58.84,26.55
21,0.00307,96056.96,294.82,95909.56,5572261.22,58.01,26.4
22,0.00321,95762.15,307.85,95608.22,5476351.67,57.19,26.24
23,0.00337,95454.29,321.21,95293.69,5380743.45,56.37,26.08
24,0.00352,95133.08,334.87,94965.65,5285449.76,55.56,25.92
25,0.00368,94798.21,348.82,94623.8,5190484.11,54.75,25.76
26,0.00384,94449.39,363.03,94267.88,5095860.31,53.95,25.6
27,0.00401,94086.36,377.49,93897.62,5001592.43,53.16,25.43
28,0.00419,93708.87,392.19,93512.78,4907694.81,52.37,25.27
29,0.00436,93316.69,407.09,93113.14,4814182.03,51.59,25.1
30,0.00454,92909.59,422.2,92698.49,4721068.89,50.81,24.93
31,0.00473,92487.39,437.48,92268.65,4628370.4,50.04,24.76
32,0.00492,92049.91,452.92,91823.45,4536101.74,49.28,24.59
33,0.00511,91596.99,468.5,91362.74,4444278.29,48.52,24.42
34,0.00531,91128.49,484.2,90886.39,4352915.55,47.77,24.25
35,0.00552,90644.29,500.01,90394.28,4262029.16,47.02,24.07
36,0.00572,90144.28,515.89,89886.33,4171634.87,46.28,23.9
37,0.00593,89628.39,531.84,89362.47,4081748.54,45.54,23.72
38,0.00615,89096.54,547.83,88822.63,3992386.08,44.81,23.54
39,0.00637,88548.71,563.85,88266.78,3903563.45,44.08,23.36
40,0.00659,87984.86,579.87,87694.92,3815296.66,43.36,23.18
41,0.00682,87404.99,595.87,87107.05,3727601.74,42.65,22.99
42,0.00705,86809.12,611.84,86503.2,3640494.69,41.94,22.81
43,0.00728,86197.28,627.75,85883.4,3553991.49,41.23,22.62
44,0.00752,85569.53,643.58,85247.74,3468108.08,40.53,22.44
45,0.00776,84925.95,659.31,84596.29,3382860.34,39.83,22.25
